DATE,Category,Crime,City,State,Zip.Code,Agency,Place,add_num,street,street2,street_type
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20850,MCPD,Parking Lot - Residential,9300,CORPORATE,,BLV
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20878,MCPD,Residence - Driveway,10600,OUTPOST,,DR
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20816,MCPD,Street - Residential,5300,WESTPATH,,WAY
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Street - Commercial,8200,GEORGIA,,AVE
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20850,RCPD,Parking Garage - Residential,500,HUNGERFORD,,DR
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20850,RCPD,Residence - Apartment/Condo,400,BLANDFORD,,ST
2021,Crime Against Property,Motor Vehicle Theft,POTOMAC,MD,20854,MCPD,Residence - Driveway,9300,FALLS CHAPEL,,WAY
2021,Crime Against Property,Motor Vehicle Theft,MONTGOMERY VILLAGE,MD,20886,MCPD,Parking Lot - Residential,18600,NATHANS,,PL
2021,Crime Against Property,Motor Vehicle Theft,CHEVY CHASE,MD,20815,MCPD,Residence - Driveway,3400,SHEPHERD,,ST
2021,Crime Against Property,Motor Vehicle Theft,GERMANTOWN,MD,20876,MCPD,Parking Lot - Commercial,20900,FREDERICK,,RD
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Parking Lot - Residential,8500,2ND,,AVE
2021,Crime Against Property,Motor Vehicle Theft,MONTGOMERY VILLAGE,MD,20886,MCPD,Street - Residential,NA,APPLE RIDGE,,RD
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20901,MCPD,Parking Lot - Residential,8600,GEREN,,RD
2021,Crime Against Property,Motor Vehicle Theft,GERMANTOWN,MD,20874,MCPD,Parking Garage - Commercial,12900,PINNACLE,,DR
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Parking Lot - Residential,1800,LOCUST GROVE,,RD
2021,Crime Against Property,Motor Vehicle Theft,POTOMAC,MD,20854,MCPD,Parking Lot - Residential,7800,SCOTLAND,,DR
2021,Crime Against Property,Motor Vehicle Theft,CHEVY CHASE,MD,20815,MCPD,Residence - Driveway,3800,VILLAGE PARK,,DR
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20879,MCPD,Parking Lot - Residential,1900,WINDJAMMER,,WAY
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20904,MCPD,Residence - Driveway,600,VENICE,,DR
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20878,MCPD,Street - Residential,11800,MANGO,,LA
